AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;972018004;;1021.8399983649608;0.0;
2;972021599;1280.124834320382;;;
2;972021604;;1198.5914521907928;0.0;
2;972025199;1619.5895054955906;;;
2;972025204;;1462.228230568144;0.0;
2;972028799;2083.973792567263;;;
2;972028804;;1845.0334649977801;0.0;
2;972032399;2410.43297382293;;;
2;972032404;;2126.8217017402503;0.0;
2;972035999;2542.4227009320207;;;
2;972036004;;2250.4430838316503;0.0;
2;972039599;2580.485614875658;;;
2;972039604;;2338.1233563417063;0.0;
2;972043199;2400.928866051657;;;
2;972043204;;2229.5487706205395;0.0;
2;972046799;2515.3962463782486;;;
2;972046804;;2385.533238043593;0.0;
2;972050399;2645.48876647198;;;
2;972050404;;2554.0287729909032;0.0;
2;972053999;2880.60345598931;;;
2;972054004;;2834.9708999748873;0.0;
2;972057599;3062.8713796204283;;;
2;972057604;;3059.94801131532;0.0;
2;972061199;3180.2796060220776;;;
2;972061204;;3177.4476060220777;0.0;
2;972064799;3263.0766625161073;;;
2;972064804;;3260.2446625161074;0.0;
2;972068399;3368.004247294841;;;
2;972068404;;3365.1722472948413;0.0;
2;972071999;3530.8296373637036;;;
2;972072004;;3527.9976373637037;0.0;
2;972075599;3720.780258703216;;;
2;972075604;;3717.948258703216;0.0;
2;972079199;3749.1261165446144;;;
2;972079204;;3746.2941165446146;0.0;
2;972082799;3791.666444167839;;;
2;972082804;;3788.834444167839;0.0;
2;972086399;3881.7933202333725;;;
2;972086404;;3878.9613202333726;0.0;
2;972089999;3880.4761238600054;;;
2;972090004;;3877.6441238600055;0.0;
2;972093599;3902.8413823466;;;
2;972093604;;3900.0093823466;0.0;
2;972097199;3951.5225767372444;;;
2;972097204;;3948.6905767372446;0.0;
2;972100799;4005.100293229501;;;
2;972100804;;4002.268293229501;0.0;
2;972104399;3980.134004457855;;;
2;972104404;;3977.302004457855;0.0;
2;972107999;4038.616627693229;;;
2;972108004;;3989.6569453503103;0.0;
2;972111599;4101.918553430241;;;
2;972111604;;4019.215978497898;0.0;
2;972115199;4171.05643623836;;;
2;972115204;;4027.466336697909;0.0;
2;972118799;4212.236349728599;;;
2;972118804;;4044.83445004475;0.0;
2;972122399;4224.610188613682;;;
2;972122404;;4041.517029563145;0.0;
2;972125999;4095.448422691111;;;
2;972126004;;3904.6669987710284;0.0;
2;972129599;3894.1442731181546;;;
2;972129604;;3692.1680093821833;0.0;
2;972133199;3777.220366411753;;;
2;972133204;;3569.924414164801;0.0;
2;972136799;3505.5136770506256;;;
2;972136804;;3356.9825157424248;0.0;
2;972140399;3146.980246183922;;;
2;972140404;;3076.745451226386;0.0;
2;972143999;2708.76641413847;;;
2;972144004;;2705.908403206016;0.0;
2;972147599;2212.8428991079245;;;
2;972147604;;2210.0108991079246;0.0;
